Heating,DHWSystem,Doors,Windows,ACH,AboveGradeWall,FoundationWall,AtticCeilings,Electricity-kWh,NG-GJ
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,8.49,17,8.47,15416.6,101.4182
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,8.49,17,8.47,28690.9,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,8.49,17,8.47,12181.2,159.049
NGF_92%,ElectricHP,Solidwood,Single_pane,12,8.49,17,8.47,12181,102.2124
ASHP2,ElectricHP,Solidwood,Single_pane,12,8.49,17,8.47,25575.5,0
NGF_65%,NGtank,Solidwood,Single_pane,12,8.49,17,40,9083.7,163.7116
NGF_92%,NGtank,Solidwood,Single_pane,12,8.49,17,40,9083.5,119.3618
ASHP2,NGtank,Solidwood,Single_pane,12,8.49,17,40,20238.9,36.2102
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,8.49,17,40,9094.4,156.1572
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,8.49,17,40,9094.2,110.3938
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,8.49,17,40,20554,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,8.49,17,40,15336.4,130.8112
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,8.49,17,40,15336.2,85.1656
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,8.49,17,40,26778.4,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,8.49,17,40,12100.1,131.9702
NGF_92%,ElectricHP,Solidwood,Single_pane,12,8.49,17,40,12099.9,85.9332
ASHP2,ElectricHP,Solidwood,Single_pane,12,8.49,17,40,23636.3,0
NGF_65%,NGtank,Solidwood,Single_pane,12,8.49,17,50,9079.8,162.5222
NGF_92%,NGtank,Solidwood,Single_pane,12,8.49,17,50,9079.6,118.5942
ASHP2,NGtank,Solidwood,Single_pane,12,8.49,17,50,20072.3,36.214
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,8.49,17,50,9090.5,154.8196
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,8.49,17,50,9090.3,109.6186
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,8.49,17,50,20459,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,8.49,17,50,15332.8,129.5268
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,8.49,17,50,15332.6,84.3904
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,8.49,17,50,26683.5,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,8.49,17,50,12096.3,130.6326
NGF_92%,ElectricHP,Solidwood,Single_pane,12,8.49,17,50,12096.1,85.158
ASHP2,ElectricHP,Solidwood,Single_pane,12,8.49,17,50,23542.9,0
NGF_65%,NGtank,Solidwood,Single_pane,12,8.49,17,60,9076.9,161.215
NGF_92%,NGtank,Solidwood,Single_pane,12,8.49,17,60,9076.7,118.0052
ASHP2,NGtank,Solidwood,Single_pane,12,8.49,17,60,20095.9,36.2178
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,8.49,17,60,9087.5,153.957
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,8.49,17,60,9087.3,109.022
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,8.49,17,60,20380.8,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,8.49,17,60,15330,128.6642
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,8.49,17,60,15329.8,83.7938
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,8.49,17,60,26605.6,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,8.49,17,60,12093.3,129.7662
NGF_92%,ElectricHP,Solidwood,Single_pane,12,8.49,17,60,12093.1,84.5576
ASHP2,ElectricHP,Solidwood,Single_pane,12,8.49,17,60,23464.7,0
NGF_65%,NGtank,Solidwood,Single_pane,12,17.5,10.16,8.47,9138.2,181.925
NGF_92%,NGtank,Solidwood,Single_pane,12,17.5,10.16,8.47,9138,130.4768
ASHP2,NGtank,Solidwood,Single_pane,12,17.5,10.16,8.47,21430.3,36.3736
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,17.5,10.16,8.47,9148.9,175.199
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,17.5,10.16,8.47,9148.7,121.3492
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,17.5,10.16,8.47,21692.5,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,10.16,8.47,15398,149.9176
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,10.16,8.47,15397.8,96.1286
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,10.16,8.47,27927.4,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,17.5,10.16,8.47,12154.6,151.0044
NGF_92%,ElectricHP,Solidwood,Single_pane,12,17.5,10.16,8.47,12154.4,96.881
ASHP2,ElectricHP,Solidwood,Single_pane,12,17.5,10.16,8.47,24776,0
NGF_65%,NGtank,Solidwood,Single_pane,12,17.5,10.16,40,9053.9,155.0666
NGF_92%,NGtank,Solidwood,Single_pane,12,17.5,10.16,40,9053.7,113.5858
ASHP2,NGtank,Solidwood,Single_pane,12,17.5,10.16,40,19290.9,36.4192
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,17.5,10.16,40,9064,147.2196
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,17.5,10.16,40,9063.8,104.3024
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,17.5,10.16,40,19609.8,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,10.16,40,15315.9,121.9192
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,10.16,40,15315.7,79.0704
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,10.16,40,25843.8,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,17.5,10.16,40,12069.6,122.9794
NGF_92%,ElectricHP,Solidwood,Single_pane,12,17.5,10.16,40,12069.4,79.8
ASHP2,ElectricHP,Solidwood,Single_pane,12,17.5,10.16,40,22688.7,0
NGF_65%,NGtank,Solidwood,Single_pane,12,17.5,10.16,50,9049.9,153.4744
NGF_92%,NGtank,Solidwood,Single_pane,12,17.5,10.16,50,9049.7,112.7878
ASHP2,NGtank,Solidwood,Single_pane,12,17.5,10.16,50,19173.6,36.423
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,17.5,10.16,50,9060,145.8212
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,17.5,10.16,50,9059.8,103.493
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,17.5,10.16,50,19512,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,10.16,50,15312.2,120.5208
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,10.16,50,15312,78.261
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,10.16,50,25746.3,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,17.5,10.16,50,12065.5,121.5772
NGF_92%,ElectricHP,Solidwood,Single_pane,12,17.5,10.16,50,12065.3,78.9906
ASHP2,ElectricHP,Solidwood,Single_pane,12,17.5,10.16,50,22590.7,0
NGF_65%,NGtank,Solidwood,Single_pane,12,17.5,10.16,60,9046.8,152.4446
NGF_92%,NGtank,Solidwood,Single_pane,12,17.5,10.16,60,9046.6,112.1722
ASHP2,NGtank,Solidwood,Single_pane,12,17.5,10.16,60,19097.6,36.4306
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,17.5,10.16,60,9056.9,144.7116
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,17.5,10.16,60,9056.7,102.866
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,17.5,10.16,60,19372.4,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,10.16,60,15309.4,119.4112
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,10.16,60,15309.2,77.634
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,10.16,60,25607,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,17.5,10.16,60,12062.4,120.4676
NGF_92%,ElectricHP,Solidwood,Single_pane,12,17.5,10.16,60,12062.2,78.3636
ASHP2,ElectricHP,Solidwood,Single_pane,12,17.5,10.16,60,22516,0
NGF_65%,NGtank,Solidwood,Single_pane,12,17.5,17,8.47,9094.7,168.549
NGF_92%,NGtank,Solidwood,Single_pane,12,17.5,17,8.47,9094.5,121.6114
ASHP2,NGtank,Solidwood,Single_pane,12,17.5,17,8.47,20176.6,36.2406
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,17.5,17,8.47,9105.4,161.519
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,17.5,17,8.47,9105.2,112.6206
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,17.5,17,8.47,20443.5,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,17,8.47,15348.4,136.2414
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,17,8.47,15348.2,87.4038
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,17,8.47,26670.1,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,17.5,17,8.47,12111.3,137.3472
NGF_92%,ElectricHP,Solidwood,Single_pane,12,17.5,17,8.47,12111.1,88.1714
ASHP2,ElectricHP,Solidwood,Single_pane,12,17.5,17,8.47,23528,0
NGF_65%,NGtank,Solidwood,Single_pane,12,17.5,17,40,9014.5,141.9756
NGF_92%,NGtank,Solidwood,Single_pane,12,17.5,17,40,9014.4,105.6438
ASHP2,NGtank,Solidwood,Single_pane,12,17.5,17,40,18123.2,36.366
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,17.5,17,40,9024.7,135.185
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,17.5,17,40,9024.5,96.4136
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,17.5,17,40,18411.8,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,17,40,15269.1,109.896
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,17,40,15268.9,71.1892
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,17,40,24638.7,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,17.5,17,40,12030.3,110.9562
NGF_92%,ElectricHP,Solidwood,Single_pane,12,17.5,17,40,12030.2,71.9264
ASHP2,ElectricHP,Solidwood,Single_pane,12,17.5,17,40,21492.9,0
NGF_65%,NGtank,Solidwood,Single_pane,12,17.5,17,50,9010.7,140.733
NGF_92%,NGtank,Solidwood,Single_pane,12,17.5,17,50,9010.6,104.8838
ASHP2,NGtank,Solidwood,Single_pane,12,17.5,17,50,18027.8,36.3698
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,17.5,17,50,9020.9,133.4788
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,17.5,17,50,9020.7,95.6422
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,17.5,17,50,18304.6,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,17,50,15265.6,108.1898
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,17,50,15265.4,70.4178
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,17,50,24531.8,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,17.5,17,50,12026.5,109.25
NGF_92%,ElectricHP,Solidwood,Single_pane,12,17.5,17,50,12026.3,71.1512
ASHP2,ElectricHP,Solidwood,Single_pane,12,17.5,17,50,21385.4,0
NGF_65%,NGtank,Solidwood,Single_pane,12,17.5,17,60,9007.8,139.802
NGF_92%,NGtank,Solidwood,Single_pane,12,17.5,17,60,9007.6,104.2986
ASHP2,NGtank,Solidwood,Single_pane,12,17.5,17,60,17952.8,36.3736
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,17.5,17,60,9017.9,132.4186
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,17.5,17,60,9017.7,95.0456
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,17.5,17,60,18234.8,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,17,60,15262.8,107.1144
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,17,60,15262.7,69.8212
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,17.5,17,60,24462.2,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,17.5,17,60,12023.5,108.243
NGF_92%,ElectricHP,Solidwood,Single_pane,12,17.5,17,60,12023.3,70.5546
ASHP2,ElectricHP,Solidwood,Single_pane,12,17.5,17,60,21312.8,0
NGF_65%,NGtank,Solidwood,Single_pane,12,22,10.16,8.47,9126.3,178.1592
NGF_92%,NGtank,Solidwood,Single_pane,12,22,10.16,8.47,9126.1,128.0942
ASHP2,NGtank,Solidwood,Single_pane,12,22,10.16,8.47,21079.6,36.3774
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,22,10.16,8.47,9137,171.3724
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,22,10.16,8.47,9136.8,118.9476
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,22,10.16,8.47,21343,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,10.16,8.47,15386.3,146.0948
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,10.16,8.47,15386.1,93.7308
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,10.16,8.47,27576,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,22,10.16,8.47,12142.7,147.174
NGF_92%,ElectricHP,Solidwood,Single_pane,12,22,10.16,8.47,12142.5,94.4794
ASHP2,ElectricHP,Solidwood,Single_pane,12,22,10.16,8.47,24424.7,0
NGF_65%,NGtank,Solidwood,Single_pane,12,22,10.16,40,9041.9,151.335
NGF_92%,NGtank,Solidwood,Single_pane,12,22,10.16,40,9041.7,111.1956
ASHP2,NGtank,Solidwood,Single_pane,12,22,10.16,40,18934.6,36.4268
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,22,10.16,40,9052,143.7464
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,22,10.16,40,9051.8,101.8894
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,22,10.16,40,19204.5,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,10.16,40,15304.3,118.4498
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,10.16,40,15304.1,76.6612
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,10.16,40,25439,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,22,10.16,40,12057.5,119.491
NGF_92%,ElectricHP,Solidwood,Single_pane,12,22,10.16,40,12057.3,77.3832
ASHP2,ElectricHP,Solidwood,Single_pane,12,22,10.16,40,22282.7,0
NGF_65%,NGtank,Solidwood,Single_pane,12,22,10.16,50,9037.9,150.0278
NGF_92%,NGtank,Solidwood,Single_pane,12,22,10.16,50,9037.7,110.3976
ASHP2,NGtank,Solidwood,Single_pane,12,22,10.16,50,18836.6,36.4344
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,22,10.16,50,9048,142.0174
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,22,10.16,50,9047.8,101.08
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,22,10.16,50,19153.7,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,10.16,50,15300.5,116.7246
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,10.16,50,15300.4,75.8518
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,10.16,50,25390.3,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,22,10.16,50,12053.5,117.762
NGF_92%,ElectricHP,Solidwood,Single_pane,12,22,10.16,50,12053.3,76.57
ASHP2,ElectricHP,Solidwood,Single_pane,12,22,10.16,50,22232,0
NGF_65%,NGtank,Solidwood,Single_pane,12,22,10.16,60,9034.8,148.675
NGF_92%,NGtank,Solidwood,Single_pane,12,22,10.16,60,9034.6,109.782
ASHP2,NGtank,Solidwood,Single_pane,12,22,10.16,60,18742.3,36.4382
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,22,10.16,60,9044.8,140.9116
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,22,10.16,60,9044.6,100.453
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,22,10.16,60,19079,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,10.16,60,15297.7,115.6188
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,10.16,60,15297.5,75.2286
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,10.16,60,25250.8,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,22,10.16,60,12050.3,116.6524
NGF_92%,ElectricHP,Solidwood,Single_pane,12,22,10.16,60,12050.2,75.943
ASHP2,ElectricHP,Solidwood,Single_pane,12,22,10.16,60,22157.3,0
NGF_65%,NGtank,Solidwood,Single_pane,12,22,17,8.47,9083,164.8364
NGF_92%,NGtank,Solidwood,Single_pane,12,22,17,8.47,9082.8,119.2706
ASHP2,NGtank,Solidwood,Single_pane,12,22,17,8.47,19800.4,36.2444
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,22,17,8.47,9093.7,157.7456
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,22,17,8.47,9093.5,110.257
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,22,17,8.47,20096.1,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,17,8.47,15341.9,131.1532
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,17,8.47,15341.7,85.0402
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,17,8.47,26327.9,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,22,17,8.47,12099.5,133.5662
NGF_92%,ElectricHP,Solidwood,Single_pane,12,22,17,8.47,12099.3,85.804
ASHP2,ElectricHP,Solidwood,Single_pane,12,22,17,8.47,23180.2,0
NGF_65%,NGtank,Solidwood,Single_pane,12,22,17,40,9002.9,138.3086
NGF_92%,NGtank,Solidwood,Single_pane,12,22,17,40,9002.7,103.3144
ASHP2,NGtank,Solidwood,Single_pane,12,22,17,40,17778.5,36.3736
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,22,17,40,9013,131.5104
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,22,17,40,9012.8,94.0576
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,22,17,40,18060.1,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,17,40,15257.8,106.2214
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,17,40,15257.6,68.8332
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,17,40,24287.5,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,22,17,40,12018.6,107.274
NGF_92%,ElectricHP,Solidwood,Single_pane,12,22,17,40,12018.4,69.5628
ASHP2,ElectricHP,Solidwood,Single_pane,12,22,17,40,21140.7,0
NGF_65%,NGtank,Solidwood,Single_pane,12,22,17,50,8999.1,137.0888
NGF_92%,NGtank,Solidwood,Single_pane,12,22,17,50,8998.9,102.5582
ASHP2,NGtank,Solidwood,Single_pane,12,22,17,50,17680.2,36.3774
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,22,17,50,9009.1,130.1538
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,22,17,50,9009,93.2862
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,22,17,50,17968.5,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,17,50,15254.3,104.8648
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,17,50,15254.1,68.0618
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,17,50,24196.1,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,22,17,50,12014.7,105.9174
NGF_92%,ElectricHP,Solidwood,Single_pane,12,22,17,50,12014.5,68.7914
ASHP2,ElectricHP,Solidwood,Single_pane,12,22,17,50,21049,0
NGF_65%,NGtank,Solidwood,Single_pane,12,22,17,60,8996.2,136.2414
NGF_92%,NGtank,Solidwood,Single_pane,12,22,17,60,8996,101.9692
ASHP2,NGtank,Solidwood,Single_pane,12,22,17,60,17602.1,36.3812
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,22,17,60,9006.2,128.7592
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,22,17,60,9006,92.6934
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,22,17,60,17882.7,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,17,60,15251.6,103.4702
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,17,60,15251.4,67.4652
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,22,17,60,24110.5,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,22,17,60,12011.8,104.519
NGF_92%,ElectricHP,Solidwood,Single_pane,12,22,17,60,12011.6,68.1948
ASHP2,ElectricHP,Solidwood,Single_pane,12,22,17,60,20962.9,0
NGF_65%,NGtank,Solidwood,Single_pane,12,28,10.16,8.47,9116.5,175.3244
NGF_92%,NGtank,Solidwood,Single_pane,12,28,10.16,8.47,9116.3,126.1258
ASHP2,NGtank,Solidwood,Single_pane,12,28,10.16,8.47,20797.3,36.3812
